index;TeamsRaw;Bookmaker;OddHome;OddDraw;OddAway;DateRaw;ScoreRaw;TO_KEEP;Home_id;Away_id;Date;Score_home;Score_away;Season
380;Internacional - Santa Cruz;bwin;-227;+290;+575;Saturday, 29 Oct 2016, 20:30;Final result 1:1 (1:1, 0:0);1;Internacional;Santa Cruz;29 Oct 2016; 1;1 ;2016
381;Internacional - Santa Cruz;Marathonbet;-250;+400;+800;Saturday, 29 Oct 2016, 20:30;Final result 1:1 (1:1, 0:0);1;Internacional;Santa Cruz;29 Oct 2016; 1;1 ;2016
382;Internacional - Santa Cruz;Pinnacle;-217;+348;+769;Saturday, 29 Oct 2016, 20:30;Final result 1:1 (1:1, 0:0);1;Internacional;Santa Cruz;29 Oct 2016; 1;1 ;2016
383;Internacional - Santa Cruz;Unibet;-333;+400;+850;Saturday, 29 Oct 2016, 20:30;Final result 1:1 (1:1, 0:0);1;Internacional;Santa Cruz;29 Oct 2016; 1;1 ;2016
384;Internacional - Santa Cruz;William Hill;+850;+850;+850;Saturday, 29 Oct 2016, 20:30;Final result 1:1 (1:1, 0:0);1;Internacional;Santa Cruz;29 Oct 2016; 1;1 ;2016
406;Athletico-PR - Cruzeiro;1xBet;+112;+250;+278;Saturday, 29 Oct 2016, 18:30;Final result 1:0 (1:0, 0:0);1;Athletico-PR;Cruzeiro;29 Oct 2016; 1;0 ;2016
407;Athletico-PR - Cruzeiro;bet-at-home;+114;+208;+236;Saturday, 29 Oct 2016, 18:30;Final result 1:0 (1:0, 0:0);1;Athletico-PR;Cruzeiro;29 Oct 2016; 1;0 ;2016
408;Athletico-PR - Cruzeiro;bet365;+110;+210;+275;Saturday, 29 Oct 2016, 18:30;Final result 1:0 (1:0, 0:0);1;Athletico-PR;Cruzeiro;29 Oct 2016; 1;0 ;2016
409;Athletico-PR - Cruzeiro;bwin;+114;+220;+210;Saturday, 29 Oct 2016, 18:30;Final result 1:0 (1:0, 0:0);1;Athletico-PR;Cruzeiro;29 Oct 2016; 1;0 ;2016
410;Athletico-PR - Cruzeiro;Marathonbet;+110;+250;+280;Saturday, 29 Oct 2016, 18:30;Final result 1:0 (1:0, 0:0);1;Athletico-PR;Cruzeiro;29 Oct 2016; 1;0 ;2016
411;Athletico-PR - Cruzeiro;Pinnacle;+119;+234;+271;Saturday, 29 Oct 2016, 18:30;Final result 1:0 (1:0, 0:0);1;Athletico-PR;Cruzeiro;29 Oct 2016; 1;0 ;2016
412;Athletico-PR - Cruzeiro;Unibet;+114;+220;+229;Saturday, 29 Oct 2016, 18:30;Final result 1:0 (1:0, 0:0);1;Athletico-PR;Cruzeiro;29 Oct 2016; 1;0 ;2016
413;Athletico-PR - Cruzeiro;William Hill;+229;+229;+229;Saturday, 29 Oct 2016, 18:30;Final result 1:0 (1:0, 0:0);1;Athletico-PR;Cruzeiro;29 Oct 2016; 1;0 ;2016
435;Atletico-MG - Flamengo RJ;1xBet;+112;+244;+284;Saturday, 29 Oct 2016, 18:30;Final result 2:2 (0:1, 2:1);1;Atletico-MG;Flamengo RJ;29 Oct 2016; 2;2 ;2016
436;Atletico-MG - Flamengo RJ;bet-at-home;+110;+229;+223;Saturday, 29 Oct 2016, 18:30;Final result 2:2 (0:1, 2:1);1;Atletico-MG;Flamengo RJ;29 Oct 2016; 2;2 ;2016
437;Atletico-MG - Flamengo RJ;bet365;+104;+200;+300;Saturday, 29 Oct 2016, 18:30;Final result 2:2 (0:1, 2:1);1;Atletico-MG;Flamengo RJ;29 Oct 2016; 2;2 ;2016
438;Atletico-MG - Flamengo RJ;bwin;+114;+225;+210;Saturday, 29 Oct 2016, 18:30;Final result 2:2 (0:1, 2:1);1;Atletico-MG;Flamengo RJ;29 Oct 2016; 2;2 ;2016
439;Atletico-MG - Flamengo RJ;Marathonbet;+110;+245;+285;Saturday, 29 Oct 2016, 18:30;Final result 2:2 (0:1, 2:1);1;Atletico-MG;Flamengo RJ;29 Oct 2016; 2;2 ;2016
440;Atletico-MG - Flamengo RJ;Pinnacle;+116;+257;+254;Saturday, 29 Oct 2016, 18:30;Final result 2:2 (0:1, 2:1);1;Atletico-MG;Flamengo RJ;29 Oct 2016; 2;2 ;2016
441;Atletico-MG - Flamengo RJ;Unibet;+114;+229;+220;Saturday, 29 Oct 2016, 18:30;Final result 2:2 (0:1, 2:1);1;Atletico-MG;Flamengo RJ;29 Oct 2016; 2;2 ;2016
442;Atletico-MG - Flamengo RJ;William Hill;+220;+220;+220;Saturday, 29 Oct 2016, 18:30;Final result 2:2 (0:1, 2:1);1;Atletico-MG;Flamengo RJ;29 Oct 2016; 2;2 ;2016
464;Corinthians - Chapecoense-SC;1xBet;-161;+290;+565;Saturday, 29 Oct 2016, 18:30;Final result 1:1 (0:0, 1:1);1;Corinthians;Chapecoense-SC;29 Oct 2016; 1;1 ;2016
465;Corinthians - Chapecoense-SC;bet-at-home;-200;+294;+490;Saturday, 29 Oct 2016, 18:30;Final result 1:1 (0:0, 1:1);1;Corinthians;Chapecoense-SC;29 Oct 2016; 1;1 ;2016
466;Corinthians - Chapecoense-SC;bet365;-200;+280;+650;Saturday, 29 Oct 2016, 18:30;Final result 1:1 (0:0, 1:1);1;Corinthians;Chapecoense-SC;29 Oct 2016; 1;1 ;2016
467;Corinthians - Chapecoense-SC;bwin;-200;+275;+500;Saturday, 29 Oct 2016, 18:30;Final result 1:1 (0:0, 1:1);1;Corinthians;Chapecoense-SC;29 Oct 2016; 1;1 ;2016
468;Corinthians - Chapecoense-SC;Marathonbet;-167;+290;+590;Saturday, 29 Oct 2016, 18:30;Final result 1:1 (0:0, 1:1);1;Corinthians;Chapecoense-SC;29 Oct 2016; 1;1 ;2016
