MatchId,Season,Home_id,Away_id,Date,Score_home,Score_away,1xBet_H,1xBet_A,bet-at-home_H,bet-at-home_A,bet365_H,bet365_A,bwin_H,bwin_A,Coolbet_H,Coolbet_A,Pinnacle_H,Pinnacle_A,Unibet_H,Unibet_A,William Hill_H,William Hill_A,BetJoe_H,BetJoe_A
47,2015,Chinatrust Brothers,Eda Rhinos,2015-09-11,1,17,2.12,1.72,2.01,1.65,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
48,2015,Uni Lions,Rakuten Monkeys,2015-09-11,6,8,1.99,1.82,1.92,1.72,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
49,2015,Chinatrust Brothers,Uni Lions,2015-09-10,5,2,1.89,1.92,1.8,1.83,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
50,2015,Eda Rhinos,Rakuten Monkeys,2015-09-10,11,6,1.99,1.82,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
51,2015,Eda Rhinos,Rakuten Monkeys,2015-09-09,9,8,2.29,1.62,2.1,1.6,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
52,2015,Chinatrust Brothers,Uni Lions,2015-09-08,3,2,1.75,2.09,1.7,1.95,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
53,2015,Eda Rhinos,Chinatrust Brothers,2015-09-06,6,9,2.12,1.72,2.01,1.65,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
54,2015,Rakuten Monkeys,Uni Lions,2015-09-06,3,2,1.72,2.12,1.65,2.01,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
55,2015,Eda Rhinos,Chinatrust Brothers,2015-09-04,6,4,1.62,2.29,1.6,2.1,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
56,2015,Rakuten Monkeys,Uni Lions,2015-09-04,12,9,1.65,2.25,1.6,2.1,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
