MatchId,Season,Home_id,Away_id,Date,Score_home,Score_away,Unibet_H,Unibet_A,bet-at-home_H,bet-at-home_A,bet365_H,bet365_A,bwin_H,bwin_A,Pinnacle_H,Pinnacle_A,William Hill_H,William Hill_A,Marathonbet_H,Marathonbet_A,1xBet_H,1xBet_A,Coolbet_H,Coolbet_A,Betago_H,Betago_A
3047,2019-2020,Merkezefendi,Bandirma Kirmizi,2020-02-28,69,60,Na,Na,1.28,3.1,Na,Na,1.42,2.65,Na,Na,Na,Na,1.33,3.14,1.34,3.15,1.45,2.7,Na,Na
3048,2019-2020,Bornova,Mamak Bld.,2020-02-28,90,68,1.42,2.75,1.4,2.6,Na,Na,1.42,2.65,Na,Na,Na,Na,1.38,2.9,1.39,2.86,1.65,2.2,1.35,2.6
3049,2019-2020,Socar Spor,Konyaspor,2020-02-23,75,57,Na,Na,1.14,4.45,Na,Na,1.15,4.75,Na,Na,1.12,5.5,1.14,5.25,1.15,5.05,1.22,4.2,Na,Na
3050,2019-2020,Bandirma Kirmizi,Duzce Belediye,2020-02-23,75,65,Na,Na,1.15,4.3,Na,Na,1.15,4.75,Na,Na,1.14,5.0,1.16,4.85,1.2,4.32,1.09,7.0,Na,Na
3051,2019-2020,Akhisar Belediye,Manisa,2020-02-22,76,65,Na,Na,1.23,3.45,Na,Na,1.28,3.3,Na,Na,Na,Na,1.31,3.26,1.32,3.22,1.33,3.25,Na,Na
3052,2019-2020,Fethiye Bld.,Final Spor,2020-02-22,86,78,Na,Na,1.65,2.02,Na,Na,1.65,2.1,Na,Na,Na,Na,1.65,2.16,1.66,2.15,1.62,2.26,Na,Na
3053,2019-2020,Gemlik,Samsun,2020-02-22,69,78,Na,Na,1.2,3.8,Na,Na,1.2,4.0,Na,Na,Na,Na,1.26,3.62,1.27,3.56,1.35,3.13,Na,Na
3054,2019-2020,Yalova Bld.,Bornova,2020-02-22,65,55,Na,Na,1.45,2.42,Na,Na,1.48,2.45,Na,Na,Na,Na,1.47,2.57,1.49,2.55,1.8,1.98,Na,Na
3055,2019-2020,Mamak Bld.,Merkezefendi,2020-02-22,65,93,Na,Na,1.65,2.02,Na,Na,1.65,2.1,Na,Na,Na,Na,1.62,2.22,1.66,2.15,1.65,2.2,Na,Na
3056,2019-2020,Anadolu Basket,Balikesir,2020-02-21,85,74,Na,Na,1.63,2.05,Na,Na,1.65,2.1,Na,Na,Na,Na,1.65,2.16,1.68,2.13,1.71,2.1,Na,Na
3057,2019-2020,Socar Spor,Yalova Bld.,2020-02-16,75,61,Na,Na,1.04,7.0,Na,Na,1.06,7.25,Na,Na,Na,Na,1.02,11.5,1.02,7.0,1.06,8.6,Na,Na
3058,2019-2020,Manisa,Gemlik,2020-02-15,74,79,Na,Na,1.2,3.75,Na,Na,1.2,4.0,Na,Na,Na,Na,1.2,4.3,1.21,4.2,1.3,3.44,Na,Na
3059,2019-2020,Samsun,Bandirma Kirmizi,2020-02-15,69,77,Na,Na,3.3,1.25,Na,Na,3.6,1.25,Na,Na,Na,Na,4.1,1.21,4.04,1.22,2.74,1.44,Na,Na
3060,2019-2020,Balikesir,Fethiye Bld.,2020-02-15,79,84,Na,Na,2.75,1.35,Na,Na,2.55,1.45,Na,Na,Na,Na,3.13,1.33,3.12,1.34,3.25,1.33,Na,Na
3061,2019-2020,Final Spor,Akhisar Belediye,2020-02-15,72,67,Na,Na,1.5,2.3,Na,Na,1.48,2.45,Na,Na,Na,Na,1.55,2.36,1.57,2.33,1.54,2.44,Na,Na
3062,2019-2020,Konyaspor,Anadolu Basket,2020-02-15,87,82,Na,Na,1.2,3.75,Na,Na,1.2,4.0,Na,Na,Na,Na,1.16,4.75,1.17,4.68,1.32,3.31,Na,Na
3063,2019-2020,Merkezefendi,Bornova,2020-02-14,87,69,Na,Na,1.3,3.0,Na,Na,1.36,2.9,Na,Na,Na,Na,1.33,3.14,1.31,3.26,1.44,2.74,Na,Na
3064,2019-2020,Duzce Belediye,Mamak Bld.,2020-02-14,74,82,Na,Na,2.05,1.63,Na,Na,2.15,1.62,Na,Na,Na,Na,2.22,1.62,2.22,1.63,1.87,1.9,Na,Na
3065,2019-2020,Bandirma Kirmizi,Manisa,2020-09-02,74,67,Na,Na,1.35,2.75,Na,Na,1.36,2.9,Na,Na,Na,Na,1.36,2.97,1.38,2.93,1.44,2.74,Na,Na
3066,2019-2020,Akhisar Belediye,Balikesir,2020-08-02,100,83,Na,Na,1.16,4.25,Na,Na,1.17,4.4,Na,Na,Na,Na,1.18,4.55,1.21,4.2,1.19,4.6,Na,Na
3067,2019-2020,Fethiye Bld.,Konyaspor,2020-08-02,88,77,Na,Na,1.41,2.55,Na,Na,1.42,2.65,Na,Na,Na,Na,1.41,2.77,1.42,2.76,1.39,2.94,Na,Na
3068,2019-2020,Gemlik,Final Spor,2020-08-02,92,95,Na,Na,2.55,1.41,Na,Na,2.65,1.42,Na,Na,Na,Na,2.77,1.41,2.76,1.42,2.63,1.47,Na,Na
3069,2019-2020,Yalova Bld.,Merkezefendi,2020-08-02,86,73,Na,Na,2.55,1.41,Na,Na,2.65,1.42,Na,Na,Na,Na,2.77,1.41,2.75,1.42,2.7,1.45,Na,Na
3070,2019-2020,Mamak Bld.,Samsun,2020-08-02,76,68,Na,Na,1.04,7.25,Na,Na,1.08,6.5,Na,Na,Na,Na,1.07,7.3,1.07,7.6,1.17,4.9,Na,Na
3071,2019-2020,Bornova,Duzce Belediye,2020-07-02,80,84,Na,Na,1.06,6.25,Na,Na,1.08,6.5,Na,Na,Na,Na,1.08,7.1,1.08,7.3,1.25,3.8,Na,Na
3072,2019-2020,Anadolu Basket,Socar Spor,2020-07-02,76,77,Na,Na,4.75,1.12,Na,Na,4.75,1.15,Na,Na,Na,Na,5.15,1.14,5.15,1.14,4.3,1.21,Na,Na
3073,2019-2020,Konyaspor,Akhisar Belediye,2020-02-02,64,70,Na,Na,1.45,2.42,Na,Na,1.48,2.45,Na,Na,Na,Na,1.47,2.57,1.48,2.57,1.48,2.6,Na,Na
3074,2019-2020,Socar Spor,Fethiye Bld.,2020-02-02,86,72,Na,Na,1.23,3.45,Na,Na,1.25,3.6,Na,Na,Na,Na,1.25,3.7,1.26,3.66,1.33,3.25,Na,Na
3075,2019-2020,Samsun,Bornova,2020-01-02,57,77,2.32,1.58,2.25,1.53,Na,Na,2.25,1.57,Na,Na,Na,Na,2.36,1.55,2.34,1.57,3.19,1.34,Na,Na
3076,2019-2020,Balikesir,Gemlik,2020-01-02,97,105,Na,Na,1.28,3.15,Na,Na,1.28,3.3,Na,Na,Na,Na,1.27,3.54,1.29,3.44,1.37,3.03,Na,Na
3077,2019-2020,Manisa,Mamak Bld.,2020-01-02,86,77,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,2.98,1.38,Na,Na
3078,2019-2020,Final Spor,Bandirma Kirmizi,2020-01-02,89,64,Na,Na,1.63,2.05,Na,Na,1.65,2.1,Na,Na,Na,Na,1.61,2.23,1.63,2.21,1.66,2.19,Na,Na
3079,2019-2020,Duzce Belediye,Merkezefendi,2020-01-31,65,80,Na,Na,3.95,1.18,Na,Na,4.0,1.2,Na,Na,Na,Na,4.55,1.18,4.4,1.19,3.9,1.24,Na,Na
3080,2019-2020,Anadolu Basket,Yalova Bld.,2020-01-31,73,61,Na,Na,1.78,1.85,Na,Na,1.75,1.95,Na,Na,Na,Na,1.78,1.97,1.78,1.98,1.68,2.15,1.75,1.85
3081,2019-2020,Bandirma Kirmizi,Balikesir,2020-01-26,82,75,Na,Na,1.3,3.0,Na,Na,1.28,3.3,Na,Na,Na,Na,1.35,3.04,1.37,2.98,1.43,2.77,Na,Na
3082,2019-2020,Akhisar Belediye,Socar Spor,2020-01-25,77,81,Na,Na,1.82,1.82,Na,Na,1.85,1.85,Na,Na,Na,Na,1.83,1.91,1.85,1.9,1.61,2.28,Na,Na
3083,2019-2020,Fethiye Bld.,Anadolu Basket,2020-01-25,99,91,Na,Na,1.06,6.25,Na,Na,1.08,6.5,Na,Na,Na,Na,1.07,7.6,1.06,7.9,1.12,6.0,Na,Na
3084,2019-2020,Gemlik,Konyaspor,2020-01-25,74,77,Na,Na,2.42,1.45,Na,Na,2.45,1.48,Na,Na,Na,Na,2.6,1.46,2.6,1.47,3.44,1.3,Na,Na
